,COUNTY,VIOLENT,PROPERTY,F_DRUGOFF,F_SEXOFF,F_ALLOTHER,F_TOTAL,M_TOTAL,S_TOTAL
1682,Alameda County,4318,4640,5749,260,3502,18469,37247,431
1683,Alpine County,8,4,2,1,1,16,83,0
1684,Amador County,100,59,101,5,199,464,801,2
1685,Butte County,641,602,542,34,429,2248,9026,1
1686,Calaveras County,211,83,123,14,70,501,968,3
1687,Colusa County,58,50,28,7,132,275,917,0
1688,Contra Costa County,2976,3532,2895,189,2069,11661,18539,50
1689,Del Norte County,144,104,79,13,97,437,1268,5
1690,El Dorado County,570,399,403,45,614,2031,4734,54
1691,Fresno County,4377,3514,3508,305,3253,14957,31710,377
1692,Glenn County,104,78,104,14,133,433,1283,73
1693,Humboldt County,503,440,747,54,394,2138,7460,420
1694,Imperial County,599,779,730,28,449,2585,6739,69
1695,Inyo County,81,44,39,3,38,205,851,1
1696,Kern County,4290,4384,3320,202,2975,15171,31828,524
1697,Kings County,390,322,278,49,499,1538,5203,415
1698,Lake County,349,204,271,17,303,1144,3095,13
1699,Lassen County,101,62,35,6,83,287,881,12
1700,Los Angeles County,35319,34630,32193,2041,23524,127707,238608,11049
1701,Madera County,453,409,260,35,505,1662,3366,2
1702,Marin County,500,532,454,29,276,1791,5795,178
1703,Mariposa County,64,40,46,7,43,200,517,21
1704,Mendocino County,415,296,551,17,364,1643,3654,10
1705,Merced County,1169,1167,1055,78,1006,4475,9637,714
1706,Modoc County,47,29,10,5,52,143,310,50
1707,Mono County,52,38,38,1,30,159,521,0
1708,Monterey County,1385,1311,967,136,911,4710,11948,304
1709,Napa County,367,400,325,24,392,1508,3471,60
1710,Nevada County,211,207,240,10,108,776,2319,155
1711,Orange County,6145,7853,7524,579,4049,26150,66320,1620
1712,Placer County,712,1226,788,51,972,3749,7070,150
1713,Plumas County,100,44,104,2,68,318,867,13
1714,Riverside County,5825,7082,5881,479,4832,24099,40087,2235
1715,Sacramento County,5302,5809,4492,409,3854,19866,32332,389
1716,San Benito County,209,140,111,20,141,621,1460,27
1717,San Bernardino County,8474,10799,8793,720,4916,33702,56648,1119
1718,San Diego County,9812,8598,7648,579,5321,31958,78405,4107
1719,San Francisco County,3629,2792,6867,51,3339,16678,14782,9
1720,San Joaquin County,3223,3136,1920,187,2606,11072,23552,49
1721,San Luis Obispo County,609,647,522,94,403,2275,9962,67
1722,San Mateo County,1446,1527,1487,97,935,5492,13119,520
1723,Santa Barbara County,1292,1037,876,77,861,4143,24386,366
1724,Santa Clara County,4309,4737,4325,506,3095,16972,38541,1165
1725,Santa Cruz County,753,789,872,43,744,3201,10455,115
1726,Shasta County,464,505,434,36,505,1944,7829,422
1727,Sierra County,14,10,6,3,9,42,124,0
1728,Siskiyou County,189,145,180,9,163,686,1786,8
1729,Solano County,1599,1326,1422,81,1027,5455,10682,191
1730,Sonoma County,1359,1296,1682,81,954,5372,16767,99
1731,Stanislaus County,2211,2595,2209,111,2104,9230,14369,133
1732,Sutter County,426,358,173,37,194,1188,2916,184
1733,Tehama County,236,272,457,16,189,1170,2871,12
1734,Trinity County,65,50,63,10,53,241,527,2
1735,Tulare County,2183,2080,1681,170,1767,7881,15368,301
1736,Tuolumne County,160,252,209,14,261,896,2062,83
1737,Ventura County,2275,2425,2040,120,2083,8943,25762,1734
1738,Yolo County,585,634,614,39,662,2534,5426,73
1739,Yuba County,354,368,211,39,257,1229,2967,4
